MM FASHION LTD.,,,,,,,,, Cash On Hand 
 Cash Book ,,,,,,,,, -   
Credit/Inward,,,,Debit/Outward,,,,,
Date,Catagories,Pariculars, Amount Tk. ,Date,Catagories,Supplier,Buyer,Particulars, Amount Tk. 
,,,,25-02-25,Machine spare parts,,,"Needle,Led light, folder"," 2,406 "
,,,,25-02-25,Factory Maintance,,,"Silver ink, mom chalk, Sticker etc."," 1,635 "
,,,,25-02-25,Convence,,,Mostofa (23 feb-25feb)," 2,020 "
,,,,25-02-25,Tiffin Bill,,,Sample bill, 150 
,,,,25-02-25,Carriage Bill,,,labour bill, 300 
26-02-2025,Loan A/C Chairman by Bashar,," 8,550 ",26-02-25,Cons labour wages,,,labour bill," 4,200 "
26-02-2025,Loan A/C Chairman,," 6,780 ",26-02-25,Cons Materials,,,Electric item," 3,800 "
,,,,26-02-25,Cons Materials,,,"PVC Pipe, Juri", 550 
,,,,26-02-25,Factory Maintance,,,Pattarn board," 6,460 "
,,,,26-02-25,Office Maintance,,,Register book 2 pcs, 320 
27-02-2025,Loan A/C Chairman,," 1,940 ",27-02-25,Convence,,,Omor visiting buying house, 500 
,,,,27-02-25,Convence,,,MD & abir Sir buying house," 1,130 "
,,,,27-02-25,Factory Maintance,,,Denim Pen, 310 
28-02-2025,Loan A/C Chairman,," 813,690 ",28-02-25,Fabric- Purchase,Narayangonj,,ADL TT order," 810,000 "
28-02-2025,Loan A/C Chairman by Bashar,," 9,120 ",28-02-25,Convence,,,Narayanganj Fabric purpose ashraful," 1,590 "
,,,,28-02-25,Factory Maintance,,,"Spot remover, mom chalk "," 2,000 "
,,,,28-02-25,Convence,,,Convence bill, 100 
,,,,28-02-25,Lunch bill,,,all QC buyer feb," 9,120 "
01-03-2025,Loan A/C Chairman,," 329,000 ",01-03-25,SubContract Bill,,,Mohabbat Garments long pant(3850pcs)," 327,000 "
01-03-2025,Loan A/C Chairman by Bashar,," 2,000 ",01-03-25,Carriage Bill,,,Mohabbat Garments covervan & labour bill," 2,000 "
,,,,01-03-25,Advance Salary,,,Akram feb'25," 2,000 "
02-03-2025,Loan A/C Chairman,," 76,090 ",02-03-25,Convence,,,HR dyeing & Mohabbat up down 2 days," 1,090 "
02-03-2025,Loan A/C Chairman by Bashar,, 140 ,02-03-25,Furniture & Fittings,,,Table lock, 140 
,,,,02-03-25,Factory Papers,,,bkmea membership," 75,000 "
03-03-2025,Loan A/C Chairman,," 40,000 ",03-03-25,Accessories Bill,Sarowat Accessories, Urbo,previous due," 25,000 "
03-03-2025,Loan A/C Chairman by Bashar,," 5,500 ",03-03-25,Electric Item,,,Fan 5pcs," 5,500 "
,,,,03-03-25,Factory Papers,,,hamid donation bkmea," 15,000 "
04-03-2025,Loan A/C Chairman,," 119,140 ",04-03-25,Office Maintance,,,Stamp paper, 500 
04-03-2025,Loan A/C Chairman by Bashar,," 25,000 ",04-03-25,Cons labour wages,,,sanitary koraki," 15,000 "
,,,,04-03-25,Cons labour wages,,,raihan  previous bill," 10,000 "
,,,,04-03-25,Convence,,,mostofa(26 feb-2 mar)," 1,780 "
,,,,04-03-25,Carriage Bill,,,covervan tanush," 4,500 "
,,,,04-03-25,Carriage Bill,,,Labour bill, 900 
,,,,04-03-25,Factory Maintance,,,"markar paper, weight scale"," 4,960 "
,,,,04-03-25,Office Maintance,Jamuna Printing Press,,Operator form and hajira card," 6,100 "
,,,,04-03-25,Machine spare parts,,,"lopar set, m]needle, magnet guid, folder"," 24,596 "
,,,,04-03-25,Accessories Bill,, Urbo,"regular fit thread, hand needle"," 2,270 "
,,,,04-03-25,Accessories Bill,,Brooklyn,"Solera: twill tape, size label", 570 
,,,,04-03-25,Accessories Bill,, Urbo,"long cargo: thread, Elastic, Zipper, Fusing"," 72,964 "
05-03-2025,Loan A/C Chairman,," 18,280 ",05-03-25,Tiffin Bill,,,4 mar tiffin bill staff sample," 1,080 "
05-03-2025,Loan A/C Chairman by Bashar,," 2,800 ",05-03-25,Cons labour wages,,,door fixing," 2,800 "
,,,,05-03-25,Office Maintance,,,Stamp paper 20," 2,200 "
,,,,05-03-25,Electric Bill,,,nagad: 73PR^B9G," 15,000 "
,,,,05-03-25,Office Maintance,,,stamp paper," 2,200 "
06-03-2025,Loan A/C Chairman,," 36,980 ",06-03-25,Tiffin Bill,,,Iftari sample man 7 person, 700 
,,,,06-03-25,Convence,,,atipara up down & modina garment bablu, 320 
,,,,06-03-25,Accessories Bill,, Urbo,regular fit: thread," 1,170 "
,,,,06-03-25,Machine spare parts,,,flat lock parts, 60 
,,,,06-03-25,Convence,,,mostofa (4 mar-5 mar), 440 
,,,,06-03-25,Tiffin Bill,,,staff iftari 5 mar, 500 
,,,,06-03-25,Carriage Bill,,,Labour bill modina fabric accessories loading," 1,000 "
,,,,06-03-25,Accessories Bill,,,"sample section zipper, thread", 200 
,,,,06-03-25,Accessories Bill,,Team Fashion,"TT01: thread, Elastic"," 28,780 "
,,,,06-03-25,Office Maintance,,,"file, register book"," 1,200 "
,,,,06-03-25,Convence,,,uttara updown & modina garment, 410 
08-03-2025,Loan A/C Chairman,," 53,590 ",08-03-25,Factory Maintance,,,"thinner, bobin, needle", 920 
,,,,08-03-25,Convence,,,urbo buying house up down, 250 
,,,,08-03-25,Accessories Bill,, Urbo,short cargo: zipper," 1,100 "
,,,,08-03-25,Accessories Bill,, Urbo,long& short cargo: piping," 3,750 "
,,,,08-03-25,Tiffin Bill,,,17 person for completing solera (6 mar)," 1,100 "
,,,,08-03-25,Office Maintance,,,A4 paper 2 bundle, 700 
,,,,08-03-25,Office Maintance,,,Punch Machine, 150 
,,,,08-03-25,Factory Maintance,,,"Scissores, guid, machone Oil"," 5,610 "
,,,,08-03-25,Convence,,,Balal Modina up down, 160 
,,,,08-03-25,Convence,,,Modina up down Bablu, 260 
,,,,08-03-25,Office Maintance,Ryans Computer,,Printer toner, 750 
,,,,08-03-25,Convence,,,Faruk visiting team fashion, 200 
,,,,08-03-25,Tiffin Bill,,,aziz (quality) 21 days tiffin mohabbat, 370 
,,,,08-03-25,Convence,,,aziz (quality) 21 days convence mohabbat, 860 
,,,,08-03-25,Electric Item,,,"Fan , light, switch, channe; pipe"," 37,410 "
09-03-2025,Loan A/C Chairman,," 10,000 ",09-03-25,Factory Papers,,,hamid," 10,000 "
10-03-2025,Loan A/C Chairman,," 166,324 ",10-03-25,Electric Bill,,,nagad: 73Q808DL," 15,000 "
,,,,10-03-25,Convence,,,buying house," 1,000 "
,,,,10-03-25,Advance Salary,,,Akram (sample man) mar'25," 3,000 "
,,,,10-03-25,Advance Salary,,,Faruk mar'25," 5,000 "
